ID в ИС ГТИБД,Вид объекта,Название,Краткое название,Название (англ.),Тип учреждения,Адрес (ручной),Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Историческая справка,Историческая справка (англ.),Заметки,Режим работы,Режим работы (англ.),Координаты
5949,Религиозные объекты,Часовня Св. Вмч. Иоанна Нового Сочавского,Часовня Св. Вмч. Иоанна Нового Сочавского,Chapel of Saint Great Martyr Ioann Novy Sochavsky,религиозное,"Санкт-Петербург, ул. Ефимова, д. 2",+7(812)3106509,нет,нет,"""Архитекторы: Рапопорт Е. М., Столярчук А. А. Год постройки: 2003-2004, 2017-2018""",,"""2003 - 2004 - арх.Рапопорт Евгений Менделевич, Столярчук Анатолий Аркадьевич. 2017-2018 - реконструкция. Часовня построена  в память об утраченном храме Успения Пресвятой Богородицы. Освящена во имя покровителя торговли св. мч. Иоанна Нового 19 марта 2005 г.Приписана к церкви Воскресения Христова у Варшавского вокзала. После проведенной реконструкции храм-часовня освящена во имя Всемилостивого Спаса. Внутренняя площадь часовни увеличена с 16,6 кв. метров до 109 кв. метров.""",,,"Ежедневно, 10:00–19:00",,"59.926406523,30.320852912"
5950,Религиозные объекты,Часовня Божией Матери Всех Скорбящих Радости - Церковь подворья Свято-Троицкого Зеленецкого мужского монастыря,"""Храм во имя иконы «Всех скорбящих Радость»""","Icon of Our Lady ""Joy of All who Sorrow"" Chapel - Church of the Metochion of the Svyato-Troitsky Zelenetsky Friary",религиозное,"Санкт-Петербург, просп. Обуховской Обороны 22-24",+7(812)3650300,http://skorbyashenskaya.ru,hramsgroshykamy@gmail.com,Церковь иконы Божией Матери «Всех скорбящих радость (с грошиками)» - православный храм на проспекте Обуховской обороны в Санкт-Петербурге. Был разрушен советскими властями в 1933 году и восстановлен в 2017-2021 годах.,,"""1906-1909  - арх. Фон Гоген Александр Иванович,  Иванов Александр Васильевич. 1996-2008  - реставрация. На фасадах, облицованных светлой кирпичной плиткой, сохранились мозаики работы В. А. Фролова. В селении Стеклянного завода, на Шлиссельбургском тракте, уже со второй половины XVIII в. стояла скромная часовня со Скорбященской иконой, найденной на берегу Невы и подаренной купцом С. И. Матвеевым. В 1870 обветшавшая часовня была заменена новой, тоже деревянной, и в ней 23 июля 1888 случилось великое чудо. Во время грозы, когда молния зажгла часовню, от ее удара из кружки, стоявшей рядом, на икону упали полукопейки - """"грошики"""". Они прочно прилипли к иконе, которая одновременно чудесным образом обновилась. Этот день вошел в церковный календарь и отмечался в позднейшем храме крестным ходом и акафистом. Сама икона Божией Матери """"Всех скорбящих радости"""" стала называться """"с грошиками"""". """"Сходить на поклонение к святыне, помолиться перед нею - душевная потребность каждого православного жителя Петербурга"""", - писала в начале XX века одна из столичных газет. Уже на следующий день после чуда к погоревшей часовне начали стекаться богомольцы и служить в ней молебны, а в 1891, собрав 41 тыс. руб., прихожане Борисоглебской церкви попросили разрешения возвести отдельный храм. Пожертвования продолжали поступать, и 12 июня 1894 митрополит Палладий заложил шатровый храм с колокольней, проект которого бесплатно составили А. И. фон Гоген и А. В. Иванов.""",,,"ежедневно, 09:00–19:00",,"59.912501,30.407284"
5951,Религиозные объекты,Часовня иконы Божией Матери «Всех Скорбящих Радость» (с грошиками),Часовня иконы Божией Матери «Всех Скорбящих Радость» (с грошиками),"Icon of Our Lady ""Joy of All who Sorrow"" Chapel",религиозное,"Санкт-Петербург, ул. Воскова, д. 1",+7(812)9721708,ZELENETS.RU,ZELENECPETERBURG@GMAIL.COM,"""Храм во имя прославленной чудесами иконы Пресвятой Богородицы «Всех Скорбящих Радосте (с грошиками)»  возведен в 1894 - 1898 годах на народные деньги.""",,"""Храм во имя прославленной чудесами иконы Пресвятой Богородицы «Всех Скорбящих Радосте (с грошиками)»  возведен в 1894 - 1898 годах на народные деньги. Церковь строилась для жителей расположенного в этой части невского левобережья Стеклянного городка - поселения стеклянного завода, на земле, принадлежавшей Кабинету Его Императорского Величества. Храм был построен исключительно на частные пожертвования. Архитекторы А. И. фон Гоген и А. В. Иванов создали живописную церковь в стиле """"узорочной"""" архитектуры Москвы XVII века. Храм был поставлен на высокий гранитный подклет, имел пирамидальный нарастающий силуэт. Его главки, шатер, звонницы и малые шатры пониженных боковых объемов, украшенных в основании килевидными кокошниками, были увенчаны золочеными крестами со вставками в виде стеклянных призм зеленого цвета. Пластическая выразительность силуэта усиливалась обилием каменного декора. Живописная выразительность достигалась за счет цветового решения: сочетание основного кирпичного цвета с выступающими белыми деталями. Интерьер церкви поражал обилием росписей в духе Большого Успенского московского собора. Большой пятикупольный каменный храм с многоярусной колокольней был торжественно освящен 2 августа 1898 года. Церковь во имя Скорбященской иконы Божией Матери была одной из самых посещаемых и любимых церквей Петербурга - Петрограда. На месте старой часовни Тихвинской Божией Матери на набережной Невы в 1906 - 1909 годах была возведена новая. Она выдержана в том же характере, что и церковь; за образец А.И. фон Гоген взял придел знаменитого московского храма Рождества в Путинках середины XVII века. Изящная церковь с легкой шатровой колокольней, нарядными галереями и декоративным пятиглавием на поясах кокошников варварски снесена 26 ноября 1932 года. Часовня знаменита Скорбященской иконой. Икона Божией Матери «Всех скорбящих радосте»была родовой святыней в семье купца Матвеева - семейная легенда гласила, что один из предков купца нашел эту икону на берегу Невы. Сам купец однажды попал на Неве в сильнейшую бурю, его лодка перевернулась, и, уцепившись за доску, купец обратился с мольбой о спасении к домашней иконе. Волны вынесли его на берег возле Тихвинской часовни. В благодарность за спасение купец пожертвовал часовне родовую святыню. С 1899 года Скорбященская церковь стала самостоятельной в управлении своими доходами. В 1900 - 1904 гг. по проекту архитектора Г. Г. фон Голли напротив церкви был выстроен дом для причта. К 1912 году при церкви уже были построены богадельня для престарелых, приют для калек. Попечителем этих заведений был Федор Никитич Таиров. Судя по архивным материалам, Скорбященская церковь практически через четыре года после получения самостоятельного прихода смогла построить несколько благотворительно-просветительных учреждений. Деревянная часовня, в которой находилась чудотворная икона, бережно сохранялась до 1907 года. Позднее обветшавшая часовня была обновлена. Икона прославилась в 1888 г., когда во время грозы часовня загорелась. Во время пожара икона упала на рассыпавшиеся из ящика для пожертвований монеты. 12 монет прилипли к иконе и держались на ней непонятным образом (позднее 1 монета отпала). Причем ни одна монета не закрыла лик на иконе и не была вдавлена в краску. С тех пор возле иконы стали происходить случаи исцеления. Молва быстро прославила икону, поток народа стал столь велик, что стали задумываться о строительстве церкви. Это список московской святыни. В Москве икона находилась в церкви Преображения на Ордынке. Икона прославилась в 1688 г. чудом исцеления родной сестры патриарха Иоакима. Сестра Петра I Наталия Алексеевна из благоговения к этой иконе сделала с нее список и в 1711 г. привезла в Санкт-Петербург. Икона стала одной из главнейших святынь Санкт-Петербурга и почиталась как чудотворная. Позже образ был перенесен в Преображенский собор, где пребывает и поныне. С иконы делали многочисленные списки и упрощенные реплики, одна из которых и прославилась в 1888 г. в часовне на Стеклянном заводе. У часовни чудотворной иконы Божией Матери «Всех скорбящих Радость» 16 лет неотлучно молилась блаженная петербургская старица Матренушка-Босоножка. После 1917 года Скорбященская церковь просуществовала до начала 1930-х гг. В 1922 году с чудотворной иконы при «изъятии церковных ценностей» была снята украшавшая ее драгоценная риза. Скорбященская церковь была закрыта в ноябре 1932 года. По первоначальному плану здание храма должны были передать под общежитие завода «Большевик», но позднее, в 1933 году храм разобрали на кирпичи (которые, по преданию, пошли на строительство ДК «Невский»), под предлогом расширения территории речного порта. Такая же участь постигла в эти годы в Ленинграде большинство церквей, выстроенных в «русском стиле», находившихся не только на рабочих окраинах города. Часовня продолжала функционировать как обновленческая церковь с 1932 по 1938 год, затем и она была закрыта, а здание было передано Володарскому районному штабу МПВО.",,,"ежедневно, 09:00–19:00",,"59.957114107,30.303121017"
5952,Религиозные объекты,Храм Святого преподобного Серафима Вырицкого,Храм Святого преподобного Серафима Вырицкого,St. Reverend Serafim Vyritsky Cathedral,религиозное,"Санкт-Петербург, Загребский бульвар, д.26",+7(905)2543897,www.serafim-kupchino.ru,kupchino-serafim@yandex.ru,"""2005-2010  - АМ Архстудия арх-ры  Соколов Г. Б., Парфёнов А. А., Бирцева Ю. Ю., Трусов.Л. В. Заказчик:  Приход преподобного Серафима Вырицкого""",,""" В 2000 году Серафим Вырицкий был причислен к лику святых Православной Церкви. Множество паломников едет в Вырицу поклониться его мощам. Принято решение построить храм во имя преподобного Серафима Вырицкого и в Санкт-Петербурге. Проект храма утвержден митрополитом Санкт-Петербургским и Ладожским Владимиром, Главным архитиктором города и Администратцией фрунзенского района Санкт-Петербурга. Под застройку храма выделено прекрасное место в районе Купчино. 18 сентября 2005г, по благословению митрополита Санкт-Петербургского и Ладожского Владимира, в воскресение, в 15:00 состоялся торжественный чин закладки (основания) первого строящегося каменного Храма во имя преподобного Серафима Вырицкого Чудотворца в Санкт-Петербурге.""",,,Храм открыт ежедневно с 9.00 до 19.00,,"59.836711697,30.409704952"
5953,Религиозные объекты,Храм-часовня во имя Преподобного Серафима Вырицкого,Храм-часовня во имя Преподобного Серафима Вырицкого,Reverend Serafim Vyritsky Cathedral-Chapel,религиозное,"Санкт-Петербург, ул. Садовая, д.28",+7(812)3100166,нет,нет,нет информации,,нет информации,,,"""ежедневно, 10:00-17:00""",,"60.122174157,30.158114437"
5954,Религиозные объекты,Часовня во имя Святой Живоначальной Троицы,Часовня во имя Святой Живоначальной Троицы,St. Life-Giving Trinity Chapel,религиозное,"Санкт-Петербург, Троицкая пл, д. 2",+7(812)2327223,http://palmernw.ru/chasovna_troicy/chasovna_troicy.html,нет,"Часовня построена к 300-летию Санкт-Петербурга (проект авторского коллектива архитектурного бюро «ЯК») в память о Троицком храме, возведенном здесь Императором Петром I в год основания города. 28 мая 2003 митрополит Санкт-Петербургский и Ладожский Владимир в сослужении с духовенством Епархии совершил чин освящения часовни. Престольный праздник - День Святой Троицы.",,"""2003 - арх. Кицупа А. И., Рыбаков Г. А., Михалычев А. В. Часовня возведена на площади, на которой раньше находился. Троицкий храм,  построенный по приказу Петра I - самый первый храм Петербурга, правда не на историческом месте, а в юго-западной части площади, возле набережной Невы. Строила часовню Балтийская строительная компания. Проект разработан в архитектурном бюро """"ЯК"""" (Александр Кицула, Алексей Михалычев, Глеб Рыбаков). 23 мая 2003 г. часовня освящена.""",,,"ежедневно, 08:00–00:00",,"59.951761334,30.325699678"
5955,Религиозные объекты,Троицкая часовня,Троицкая часовня,,религиозное,"Санкт-Петербург, ул. Камская, 24",8‒921‒342‒96‒71,нет,нет,"Кирпичная одноглавая часовня-сень в русском стиле, освящённая в 2002. Сооружена на месте алтаря разрушенной в 1930-х кладбищенской Троицкой церкви.",,"""После постройки на Смоленском кладбище каменной церкви  Смоленской иконы  Божией Матери   старую  деревянную церковь перестроили и 8 ноября 1792 г. освятили как """"оспенную"""" во имя Архистратига Михаила. В 1818 г. ее отремонтировали, но наводнение 1824 г, нанесло постройке большой ущерб. Полуразрушенное здание в 1829 г. было разобрано, иконостас передали в дом имеретинской царицы Марии. В сентябре  1829 г. был заложен новый каменный храм по проекту В. Т. Кульченкова. Его освятили 20 декабря 1831 г. во имя Пресвятой Живоначальной  Троицы. 13 ноября 1832 г. на хорах был освящен  Михайловский придел, куда перенесли убранство из старого храма.  21 ноября того же года на нижнем этаже освятили придел мучеников Сергия и Вакха. Троицкая церковь была строгих пропорций, с выпуклым куполом на невысоком барабане. Главный её фасад подчеркивал дорический портик. В 1900 г. напротив храма была построена часовня для отпеваний. В 1903 г. начался ремонт церкви, завершившийся в 1904 г. его полной перестройкой по проекту архитекторов М. Т. Преображенского и И. И. Яковлева. После ремонта 21 июня 1905 г. чин освящения  храма совершил епископ Нарвский Антонин. В цокольном этаже был устроен Михайловский придел с усыпальницами, соединенный с приделом Сергия и Вакха и освященный 21 февраля 1905 г. Храм был расписан С. И. Садиковым. Образа  написали  А. Н. Новосокольцев и Ф. Р. Райлян. Церковь была закрыта в феврале 1932 г. и летом того же года снесена. Говорят, ее разобрали на кирпич за один день. Прах художника В. Л. Боровиковского, похороненного у входа в храм и захоронение актера П. А. Каратыгина, находившееся у восточной стены церкви, были перенесены в Некрополь мастеров искусств на Лазаревское кладбище Александро-Невской лавры.""",,,Ежедневно с 08:00 до 19:00,,"59.946087292,30.250819526"
5956,Религиозные объекты,Часовня преподобного Иосифа Песнописца творца канонов при Храме святых апостолов Петра и Павла в Знаменке,Часовня преподобного Иосифа Песнописца творца канонов при Храме святых апостолов Петра и Павла в Знаменке,"Reverend Joseph the Hymnographer, Kanons Author Chapel near St. Apostles Peter and Paul Cathedral in Znamenka",религиозное,"Санкт-Петербург, г.Петергоф, Санкт-Петербургское шоссе, д.115, корп.10, лит.А",+7(812)9829078; +7(812)9039009,znamenka.spb.ru,,"Кирпичная часовня, построенная в 1867 на средства унтер-офицера Морского кадетского корпуса И. Васильева в память спасения Александра II от покушения 4 апр. 1866. Постройка типа восьмерик на четверике под шатровой кровлей, с богатым декором. Закрыта не позже 1930-х. В настоящее время отремонтирована, в 2001 освящена.",,"""Часовня была построена в 1867 году по проекту архитектора Николая Леонтьевича Бенуа на личные средства унтер-офицера Морского Кадетского Корпуса Ивана Васильева, уроженца Знаменской мызы. Находится она на перекрёстке Санкт-Петербургского шоссе и дороги, ведущей к церкви во имя св. апостолов Петра и Павла и в усадьбу """"Знаменка"""". Часовня построена в память чудесного избавления от смерти Государя Императора Александра II. Покушение произошло 4 апреля 1866 года у ворот Летнего сада в Петербурге, на набережной Невы. В первый раз часовня была освящена в 1867 году во имя небесного покровителя крестьянина Осипа (Иосифа) Комиссарова, который спас государя от рук убийцы. За это Осип Иванович Комиссаров был произведен в потомственное дворянство. Архитектурный стиль часовни - псевдорусский. Красно-кирпичная постройка представляет собой восьмерик на четверике под шатровой кровлей, с богатым декором. Часовня была закрыта примерно 1930-х годах, маковка с крестом были сбиты, здание стояло заколоченное и постепенно разрушалось.Часовня у Собора Петра и Павла в Петергофе. В мае 2001 года была проведена реставрация. Часовня освящена малым чином 29 июля 2001 года. Крестный ход с огромным портретом императора Александра II под пение гимна """"Боже, Царя храни!"""" шел от церкви святых Петра и Павла до часовни. Теперь каждое воскресенье с Пасхи до Крестовоздвижения, церковный хор поет в часовне русский гимн. Часовня приписана к храму свв. апп. Петра и Павла в Знаменке. В ней совершаются молебны об избавлении России от терроризма и экстремизма. Памятник архитектуры федерального значения, охраняется государством. Адрес: Санкт-Петербург, Петергоф, С.-Петербургское шоссе, д.115 к.11. Такая же часовня в 1868 году по проекту Н.Л. Бенуа была выстроена на Торговой площади (Санкт-Петербургский проспект, 30) у Собора св. Петра и Павла в Петергофе. В 1960-е годы в Петергофской часовне находился канцелярский магазин, потом ее снесли, а на ее месте устроили доску почета с портретами известных в Петергофе передовиков производства и коммунистов. Сейчас это место пустует.""",,,Ежедневно с 08:00 до 19:00,,"59.87666852,29.962081799"
5957,Религиозные объекты,"Часовня Святителя и Исповедника Луки (войно-ясенецкого), Архиепископа Крымского и Симферопольского","Часовня Святителя и Исповедника Луки (войно-ясенецкого), Архиепископа Крымского и Симферопольского","Chapel of Saint and Confessor Luke, Archbishop of Simferopol and Crimea",религиозное,"Санкт-Петербург, пер. Учебный, д.5",+7(812)5138762,https://vk.com/neokupina,нет,нет информации,,нет информации,,,Ежедневно с 10:00 до 19:00,,"60.037227741,30.336596208"
5958,Религиозные объекты,Храм-часовня свт Николая Чудотворца на Казанском кладбище Царского Села,Храм-часовня свт Николая Чудотворца на Казанском кладбище Царского Села,St. Nicholas the Wonder Worker Cathedral-Chapel on the Kazanskoye Cemetery in Tsarskoye Selo,религиозное,"Санкт-Петербург, г.Пушкин, Казанское кладбище",+7(921)5591279,нет,нет,"""Церковь Казанской иконы Божией Матери в Пушкине, находится на Казанском кладбище на окраине исторического района София. Казанская церковь приписана к Софийскому собору Санкт-Петербургской епархии Русской православной церкви.""",,"""Церковь и колокольня при ней были сооружены по указанию императрицы Екатерины II как мавзолей её молодого фаворита графа А. Д. Ланского. Церковь строилась по проекту Дж. Кваренги. Храм был заложен 25 сентября (6 октября) 1785 года и освящён 8 (19) марта 1790 года благочинным Царе-Константиновской Софийской церкви священником Иоанном Григорьевым. На западной стороне ограды, напротив церкви, была устроена колокольня в 2 этажа. Первоначально храм не имел своего причта и был приписан к различным церквям и воинским подразделениям. 1785-1817 годы Софийская Царе-Константиновская церковь. 1817-1819 годы Церковь Пресвятой Богородицы «Всех скорбящих Радость» при Царскосельском госпитале. 1819-1824 годы Австрийский гренадерский полк. 1824-1839 годы Знаменская церковь. 1839-1850 годы Сапёрный батальон и Образцовый пехотный полк. 1850-1860 годы Екатерининский собор. В 1860 году храм получил свой причт. Во многом это было связано с тем, что храм был удалён от остальных приходов. Богослужения в храме совершались до 1924 года. 31 октября 1930 года по постановлению Леноблисполкома церковь была закрыта. Иконостас был разобран и утилизирован, надгробные плиты были переданы в музейный фонд. Помещение храма было передано сельскохозяйственной ремесленной трудовой колонии для хранения посевных материалов. Во время оккупации усыпальница под храмом использовалась в качестве бомбоубежища. В декабре 1948 года и июле 1950 года верующие Пушкина обращались с ходатайством открыть храм, но каждый раз получали отказ. В 1967 году предполагалась реставрация храма, приуроченная к 150-летию со дня рождения Кваренги, но она не была осуществлена. В 1973 году коммунальный отдел райисполкома поднял вопрос о сносе церкви, но благодаря вмешательству ГИОПа получил отказ. 20 марта 1995 года Казанская церковь была включена в список памятников архитектуры, а 11 апреля 1995 года храм был возвращён Русской православной церкви и приписан к приходу Софийского (Вознесенского) собора. Началось восстановление церкви. С 2010 года в храме были возобновлены службы. К 2011 году были закончены работы по реконструкции фасадов внутренних стен Казанской церкви.""",,,"ежедневно, 10:00-15:00",,"59.69407,30.386683"
5959,Религиозные объекты,Часовня св. ап. Андрея Первозванного,Часовня св. ап. Андрея Первозванного,Chapel of Saint Andrew the Apostle,религиозное,"Санкт-Петербург, ул. Корабельная, д.6",+7(812)7839228 смотритель часовни; +7(812)3242985 нач. отдела по культурным связям;,нет,нет,"Собор Святого Апостола Андрея Первозванного (Андреевский собор) - православный храм на Васильевском острове в Санкт-Петербурге, стоящий на пересечении Большого проспекта и 6-й линии, памятник архитектуры XVIII века. От Андреевского собора происходит название расположенного рядом Андреевского рынка. Являлся капитульным храмом ордена Святого Андрея Первозванного.",,"""В 1724 году Пётр I у шведского архитектора Никодемуса Тессина-младшего заказал проект Андреевской церкви, которую предполагали построить на стрелке Васильевского острова. Тессину выдвинули условие: храм должен был напоминать собор Святого Павла в Лондоне и иметь 427 футов (130 м) в длину. Тессин выполнил этот проект и в 1725 году, не приезжая в Россию, предоставил проектные чертежи церкви. Была изготовлена её модель, но осуществить замысел не удалось из-за внезапной кончины Петра. Отвечал за строительную часть генерал-адмирал граф Фёдор Апраксин, он с начала 20-х годов XVIII века открыл сбор пожертвований. В 1726 году настоятель старой Рождественской церкви священник Тимофей Семёнов с братией, а также и жители Васильевского острова стали настаивать на необходимости строительства нового храма. Они подали три прошения, в которых просили Синод ускорить построение церкви. Выдержка из последнего прошения: на оном острову, именным его императорскаго величества указом, построено домов многое число, и многие уже живут вседомовно и с челядинцы, а приходской церкви не имеетца, все в дальнем расстоянии и не сподобляютца (обыватели) слышать христианского священнослужения, и треб духовных отправлять некому. Для строительства Андреевской церкви был выделен участок на углу Большого проспекта и 6 линии, где по первому утверждённому плану 1715 года предполагалось устройство площади. Жители Васильевского острова просили синод о разрешении строить на отведённом месте временный деревянный храм для того, чтобы перенести в него из Рождественской церкви иконостас и всю необходимую утварь; совершение же богослужений и исполнение треб возложить на Рождественских священников. Первое прошение синод встретил отказом, но обыватели острова повторно подали коллективную просьбу, и синод ответил, что построить временную церковь можно при условии разрешения от полицейских властей. В 1728 году разрешение полицеймейстерской канцелярии было получено. 15 (26) января 1727 года по именному указу императрицы Екатерины I повелено было отпустить из казённых сумм на строение церкви во имя апостола Андрея Первозванного 1 000 рублей деньгами и на 2 000 рублей выделить материалов. В том же 1727 году по высочайшему повелению было издано «Увещание» - обращение к кавалерам Андреевского ордена, на русском и немецком языках приглашающее к пожертвованию на постройку орденской церкви. Эффективность этого хода неясна - книга для сбора пожертвований была утеряна. Высочайше пожалованная сумма также не дошла до собора: она была выдана Соляною конторой графу Апраксину, после его кончины сумма поступила в адмиралтейскую коллегию, где и находилась до 1783 года и по распоряжению гоф-интенданта, Петра Мошкова, была использована для строительства Казанской церкви.""",,,Ежедневно с 10:00 до 19:00,,"59.873715324,30.223665544"
5960,Религиозные объекты,Часовня Святого Благоверного Великого Князя Александра Невского,Часовня Святого Благоверного Великого Князя Александра Невского,Chapel of Saint Blessed Grand Prince Aleksandr Nevsky,религиозное,"Санкт-Петербург, г.Сестрорецк, ул. Володарского, д.4",+7(812)4343845,нет,нет,"Сестрорецкое кладбище было открыто в 1917 году. В 1994 году на территории кладбища на пожертвования жителей Петербурга и Сестрорецка, по проекту архитектора О. М. Рунтовой, была выстроена часовня Святого благоверного великого князя Александра Невского",,"""Часовня была освящена 6 декабря 1994 года в праздник Святого князя Александра Невского. Часовня решена в традиционном русском стиле с мягким рельефом стен и хорошо вписалась в окружающую среду. На территории кладбища появился значительный архитектурный акцент.""",,,нет информации,,"60.096258922,29.97215391"
5961,Религиозные объекты,Святого Благоверного Князя Игоря Черниговского часовня,Святого Благоверного Князя Игоря Черниговского часовня,St Blessed Knuaz Igor Chernigovsky Chapel,религиозное,"Санкт-Петербург, г.Пушкин, Московская ул., д.24",+7(812)4517704,нет,нет,"""Часовня, посвященная святому благоверному князю Игорю Черниговскому, построена по проекту арх. Е. Светловой как часовня-памятник жертвам ВОВ в г. Пушкине. На этом месте, напротив немецкой коммендатуры, проводились расстрелы. Часовня освящена 2 июля 1998 г.""",,"""Церковь-часовня Благоверного князя Игоря Черниговского была построена в 1988 году в память жертвам фашизма на месте, где во время войны проводились массовые казни. Первоначально на этом месте хотели установить советский памятник, но по предложению протоиерея Геннадия Зверева, настоятеля Софийского собора, решили возвести часовню. Строительство велось на пожертвования частных лиц. Церковь-часовня Благоверного князя Игоря Черниговского Церковь-часовня Благоверного князя Игоря Черниговского. 2 июля 1988 года часовню освятили во имя Благоверного Великого князя Игоря Черниговского. В 2001 году в ней установлен престол и начались регулярные богослужения. Здание построено в виде креста, с одной главкой, в звоннице установлены колокола с малиновым звоном. Главной святыней в церкви является икона Святого Благоверного Великого князя Игоря Черниговского, выполненная художником Владимиром Куликовым.В церкви хранится «Книга памяти» города Пушкина, в ней список всех людей, погибших при оккупации города во время Великой Отечественной войны. Всех их поминают во время богослужений. Каждый год, в день годовщины начала оккупации города Пушкина (17 сентября 1941 года) к основанию часовни (памятному камню) возлагаются цветы. Церковь-часовня Благоверного князя Игоря Черниговского Церковь-часовня Благоверного князя Игоря Черниговского. История великого князя Игоря Черниговского 1 августа 1146 года, после смерти брата Всеволода, Игорь становится князем Киевским. Сначала киевляне присягают ему, а через несколько дней договариваются с Изяславом Мстиславичем о свержении Игоря. Причина этого в том, что киевляне не любили Всеволода за его бесконечные междоусобные войны и эта ненависть распространилась на всех Ольговичей, в том числе и на Игоря.  Под Киевом произошла битва между князьями, в разгар которой киевляне встали на сторону Мстиславичей. Игорь был схвачен и посажен в поруб. В нем он смертельно заболел. При этих обстоятельствах его достали из поруба и постригли в схиму в монастыре, но князь выздоровел и остался в нем иноком.  Церковь-часовня Благоверного князя Игоря Черниговского Церковь-часовня Благоверного князя Игоря Черниговского. Год спустя борьба в Киеве продолжалась, киевляне, ослепленные ненавистью, решают отомстить всем Ольговичам и убить князя-инока. Они врываются в храм во время литургии и хватают молящегося князя, от разъяренной толпы его спасает князь Владимир Мстиславич и прячет в доме матери, но толпа достает его и там. Игорь был убит, а мертвое тело подверглось поруганию. Игорь Ольгович против воли был вовлечен в центр междоусобной войны и стал ее невинной жертвой. Своим мученическим подвигом святой Игорь должен был искупить наследственный грех княжеских войн.""",,,"ежедневно, 08:30–17:30",,"59.718675374,30.410212625"
