ID в ИС ГТИБД,Название,Вид объекта,Тип учреждения,Адрес,Описание,Координаты,Описание ориг,Историческая справка,Заметки,Режим работы
9353,выставочный зал санкт-петербургского дома учёных,выставочные залы,гос учреждение,"191186, Санкт-Петербург, Дворцовая наб. д.26",санкт-петербургский дом ученый организовывать литературный музыкальный вечер спектакль выставка демонстрация кино-видеофильм концерт вечер отдых встреча государственный общественный деятель деятель культура искусство,"59.943354,30.31947","Санкт-Петербургский Дом Учёных организует литературные и музыкальные вечера, спектакли, выставки, демонстрации кино-видеофильмов, концерты, вечера отдыха, встречи с государственными и общественными деятелями, деятелями культуры и искусства.",,,
9354,выставочный зал института им репина парадные залы научно-исследовательского музея российской академии художеств,выставочные залы,гос учреждение,"199034, Санкт-Петербург, Университетская наб., д. 17",,"59.9374,30.28997",,,,
12829,выставочный зал центра книги и графики,выставочные залы,негос учреждение,"191028, Санкт-Петербург, Литейный пр., 55",центр выставочный зал оснащать современный выставочный оборудование центр иметь конференц-зал оборудовать мультимедийный видео-проектор новый звуковой оборудование акустический стерео эффект центр книга график работать ежедневно выходной 10 00 19 00,"59.935669,30.347731","В центре есть два выставочных залов, оснащенных современным выставочным оборудованием. Центр имеет конференц-зал, оборудованный мультимедийным видео-проектором и новейшим звуковым оборудованием с акустическим стерео эффектом.«Центр Книги и Графики» работает ежедневно без выходных с 10.00 до 19.00.",,,
12830,выставочные залы елагиноостровского дворца конюшенный корпус,выставочные залы,гос учреждение,"197110, Санкт-Петербург, Елагин остров, д. 4",выставочный пространство площадь около 1000 кв м оборудовать новый осветительный экспозиционный оборудование который использовать художественный исторический проект программа выставочный деятельность – выставка мастер декоративный-прикладной изобразительный искусство художественно-исторический проект персональный выставка художник различный жанр направление,"59.939095,30.315868","Выставочные пространства (площадью около 1000 кв.м.) оборудованы новейшим осветительным и экспозиционным оборудованием, которое можно использовать для художественных и исторических проектов. В программе выставочной деятельности – выставки мастеров декоративно-прикладного и изобразительного искусства, художественно-исторические проекты, персональные выставки художников различных жанров и направлений.",,,
13923,арт-банк бывш арт-центр в перинных рядах,выставочные залы,негос учреждение,"191023, Санкт-Петербург, Невский пр., д. 62",арт-банк – новый выставочный пространство создавать куратор арт-центр перинный ряд который обещать становиться обязательный часть культурный программа санкт-петербург арт-банк поддерживаться традиция особый оформление экспозиция тщательно подобранный информационный материал музыка поход выставка переставать редкий событие знакомиться экспозиция – это приятно полезный новый зал формироваться образовательный программа экскурсия концерт интерактивный лекция мастер-класс самый разнообразный аудитория арт-банк находиться невский проспект напротив екатерининский сад изысканный здание азовский коммерческий банк возводить конец xix век увлекательный выставка график великий мастер xx век также современный фотопроект проводиться необычный интерьер настоящий дореволюционный банковский деньгохранилище,"59.933113,30.328328","Арт-банк – новое выставочное пространство, созданное кураторами Арт-центра в Перинных рядах, которое обещает стать обязательной частью культурной программы в Санкт-Петербурге. В Арт-Банке поддерживается традиция особого оформления экспозиции с тщательно подобранными информационными материалами и музыкой. Поход на выставку перестает быть редким событием, знакомиться с экспозицией – это приятно и полезно. В новом зале формируется образовательная программа с экскурсиями, концертами, интерактивными лекциями и мастер-классами для самой разнообразной аудитории. Арт-Банк находится на Невском проспекте, напротив Екатерининского сада, в изысканном здании Азовского коммерческого банка, возведённом в конце XIX века. Увлекательные выставки графики великих мастеров XX века, а также современные фотопроекты проводятся в необычном интерьере настоящего дореволюционного банковского деньгохранилища.",,,
13924,лофт проект этажи,выставочные залы,негос учреждение,"Санкт-Петербург, пр. Лиговский, д. 74",культурный центр лофт проект этаж пионер лофт-дизайн один крупный выставочный пространство санкт-петербург 2007 год центр занимать площадь бывший хлебозавод лиговский пр 74 сегодняшний день территория 3000 квадратный метр находиться 150 креативный проект магазинчик выставка кафе галерея третий этаж ждать кофейня зеленый комната большой открытый терасса 5 этаж пространство крыша крыша лофт проект этаж большой оборудовать безопасный обзорный площадка площадь 1200 кв м отсюда видный многий достопримечательность открываться отличный вид лиговский проспект,"59.922034,30.355502","Культурный центр ЛОФТ ПРОЕКТ ЭТАЖИ — пионер лофт-дизайна и одно из крупнейших выставочных пространств в Санкт-Петербурге. С 2007 года центр занимает площадь бывшего хлебозавода на Лиговском пр., 74. На сегодняшний день на территории в 3000 квадратных метров находятся более 150 креативных проектов — магазинчики, выставки, кафе и галереи! На третьем этаже вас ждёт Кофейня Зелёная Комната с большой открытой терассой, а над 5 этажем — пространство КРЫША! Крыша ЛОФТ ПРОЕКТ ЭТАЖИ — большая, оборудованная, безопасная обзорная площадка площадью более 1200 кв. м. Отсюда видны многие достопримечательности и открывается отличный вид на Лиговский проспект.",,,
13927,музей истории фотографии,выставочные залы,частный,"197376, Санкт-Петербург, ул. Профессора Попова, д. 23",музей история фотография миф основывать 18 08 2003 санкт-петербург инициатива ряд частный лицо общественный организация коллекция миф образовывать путем объединение несколько частный собрание различный вектор интерес среди который особый упоминание заслуживать обширный собрание платонов музейный помещение помимо два зал постоянный экспозиция включать четыре зал временный выставка фондохранилище библиотека,"59.971231,30.313676","Музей Истории Фотографии (МИФ) основан 18.08.2003 в Санкт-Петербурге по инициативе ряда частных лиц и общественных организаций. Коллекция МИФ образована путем объединения нескольких частных собраний с различными векторами интереса, среди которых особого упоминания заслуживает обширное собрание В.В.Платонова. Музейные помещения помимо двух залов постоянной экспозиции включают четыре зала временных выставок, фондохранилище и библиотеку.",,,
13928,культурно-выставочный центр евразия,выставочные залы,негос учреждение,"СПб, ул. Капитана Воронина, 13",культурно-выставочный центр евразия создавать сиветь 2000 год развитие деловой межрегиональный связь продвижение продукция услуга малый средний бизнес центр ежегодно проводиться около 40 выставка ярмарка деловой культурно-развлекательный программа евразия - единственный выставочный центр 4-х северный район город население 1 5 миллион человек,"59.987249,30.347255","Культурно-выставочный центр ""Евразия"" создан ВО ""Сивел"" в 2000 году для развития деловых межрегиональных связей и продвижения продукции и услуг малого и среднего бизнеса. В центре ежегодно проводится около 40 выставок и ярмарок, деловых и культурно-развлекательных программ. ""Евразия"" - единственный выставочный центр 4-х северных районов города с населением 1,5 миллиона человек.",,,
13930,музей современного искусства эрарта,выставочные залы,негосударственное учреждение,"199106, Санкт-Петербург, 29-я линия В.О., д. 2",erarta самый крупный международный проект сфера российский современный искусство являться часть обязательный программа знакомство культура россия санкт-петербург представлять пятиэтажный здание площадь 10 000 кв м один крыло который отводить постоянный экспозиция музей erarta самый крупный частный коллекция современный искусство россия состоять 2300 работа 250 художник регион страна крыло отдавать временный экспозиция который ежегодно проходить тридцать выставка,"59.931896,30.251621","Erarta — самый крупный международный проект в сфере российского современного искусства, является частью обязательной программы знакомства с культурой России. В Санкт-Петербурге представлен пятиэтажным зданием площадью в 10 000 кв. м, одно крыло которого отведено под постоянную экспозицию музея Erarta — самую крупную частную коллекцию современного искусства в России, состоящую из из более чем 2300 работ 250 художников со всех регионов страны. Еще два крыла отданы временным экспозициям, в которых ежегодно проходит более тридцати выставок.",,,
13931,музей сновидений фрейда,выставочные залы,негосударственное учреждение,"Санкт-Петербург, Большой проспект П.С., д. 18",музей сновидение фрейд открытый 100-летие выход свет книга толкование сновидение экспозиция музей посвящать идея зигмунд фрейд проливать свет происхождение сновидение механизм работа сновидение часть экспозиция это интерактивный инсталяция попытка реконструировать возможный виртуальный сновидение сам фрейд инсталяция вовлекать посетитель фантазирование сновидение ява ощущение реальность теряться посетитель оставаться вопрос реально это музей регулярно проходить выставка концерт кинопоказ,"59.955516,30.294946","Музей сновидений Фрейда открыт к 100-летию выхода в свет книги ""Толкование Сновидений"". Экспозиция музея посвящена идеям Зигмунда Фрейда, проливающим свет на происхождение сновидений, на механизмы работы сновидения. Часть экспозиции: это интерактивная инсталяция, попытка реконструировать возможное, виртуальное сновидение самого Фрейда. Инсталяция вовлекает посетителя в фантазирование, сновидение на яву, когда ощущение реальности теряется и посетитель остается один на один с вопросом ""реально ли это?""В музее регулярно проходят выставки, концерты, кинопоказы.",,,
13932,санкт-петербургский музей игрушки,выставочные залы,негос учреждение,"197022, Санкт-Петербург, наб. реки Карповки, д. 32",санкт-петербургский музей игрушка первый негосударственный музей санкт-петербург член союз музей россия основывать 7 май 1997 музей собирать хранить реставрировать экспонировать изучать игрушка особый область искусство который сплетаться древний национальный традиция самый современный художественный тенденция коллекция музей формироваться три направление народный индустриальный авторский художественный игрушка сегодня коллекция музей насчитывать 7000 единица хранение музей организовывать выставка провожать обзорный тематический экскурсия посетитель возраст,"59.969821,30.300354","Санкт-Петербургский музей игрушки — первый негосударственный музей Санкт-Петербурга, член Союза музеев России, основан 7 мая 1997. Музей собирает, хранит, реставрирует, экспонирует и изучает игрушку как особую область искусства, в которой сплетаются древние национальные традиции и самые современные художественные тенденции. Коллекция музея формируется по трем направлениям: народная, индустриальная и авторская художественная игрушка. Сегодня коллекция Музея насчитывает более 7000 единиц хранения.Музей организует выставки, проводит обзорные и тематические экскурсии для посетителей всех возрастов.",,,
13933,выставочный центр эрмитаж – выборг,выставочные залы,гос учреждение,"Ленобласть, г. Выборг, ул. Ладанова, д.1",центр эрмитаж-выборг открываться июнь 2010 год начало этот проект положенный ноябрь 2007 год подписание соглашение сотрудничество государственный эрмитаж правительство ленинградский область муниципальный образование выборгский район ленинградский область,"60.708488,28.737492","Центр ""Эрмитаж-Выборг"" открылся в июне 2010 года. Начало этому проекту было положено в ноябре 2007 года подписанием Соглашения о сотрудничестве между Государственным Эрмитажем, Правительством Ленинградской области и Муниципальным образованием ""Выборгский район"" Ленинградской области.",,,
13934,концертный зал - карнавал,выставочные залы,гос учреждение,"Санкт-Петербург, пр. Невский, д. 39",карнавал открывать 1986 год включать учебный репетиционный помещение уникальный концертный зал предназначенный выступление детский творческий коллектив город концертный зал карнавал – сложный технологический сооружение располагать профессионально оборудовать сцена удобный зрительный зал 735 место светлый трехъярусный фойе оранжерея первый этаж кафе проведение зрелищно-массовый мероприятие проходить сцена карнавал обеспечивать специалист творческий подразделение инженерно-технический служба художественно-постановочный часть,"59.933045,30.339826","«Карнавал» был открыт в 1986 году и включает в себя учебные, репетиционные помещения и уникальный концертный зал, предназначенный для выступлений детских творческих коллективов города. Концертный зал «Карнавал» – сложное технологическое сооружение, располагающее профессионально оборудованной сценой, удобным зрительным залом на 735 мест, светлым трехъярусным фойе с оранжереей первого этажа и кафе. Проведение всех зрелищно-массовых мероприятий, проходящих на сцене «Карнавала», обеспечивают специалисты творческих подразделений, инженерно-технических служб и художественно-постановочной части.",,,
5827,армянская апостольская церковь,религиозные объекты,некоммерческая организация,"Санкт-Петербург, Невский пр., д. 40-42",здание построить архитектор ю м фельтен глубина участок створ спроектировать дом 40 42 фасад который вытягивать линия невский проспект строительство северный флигель производиться десятилетие поздно возможно помощник фельтен арх егор соколов из-за главный фасад церковь неизбежно должный ориентировать невский главный вход храм- находиться западный принимать южный сторона единственный апсида церковь ориентировать восток внутренний пространство церковь приобретать достаточно сложный характер основа архитектурный решение фасад зодчий полагать тот принцип который руководствоваться создавать ранее лютеранский церковь св екатерина васильевский остров заметно усиливать декоративный оформление портик получать сильный вынос дополнительный боковой стенка торец оформлять пилястр придавать больший разнообразие поверхность стена использоваться разный форма проем прямоугольный арочный первый ярус небольшой круглый окошко сочетаться квадратный филенка - второй вместо строгий капитель тосканский ордер колонна портик сдвоить пилястра закреплять угол фасад фельтный использовать ионический капитель висюлька стена оконный проем первый второй ярус размещать барельеф воспроизводить типичный барочный мотив - головка путти облако ангелочек водружать крест входной дверь храм поле фронтон заполнять многофигурный композиция католикос григор просветитель свершать крещение царь трдат iii интерьер главный элемент декор - 20 парный колонна композитный ордер размещать угол подкупольный квадрат преддверие алтарный апсида облицовывать желтый искусственный мрамор белый капитель выразительный смотреться фон беломраморный стена колонна - прерываться весь периметр помещение - тянуться декоративный карниз дентикула,"59.957114107,30.303121017","Здание было построено архитектором Ю. М. Фельтеном в глубине участка, в створе им же спроектированных домов № 40 и 42, фасады которых вытянуты по линии Невского проспекта (строительство северного флигеля производилось на десятилетие позднее, возможно, помощником Фельтена арх. Егором Соколовым). Из-за этого и главный фасад церкви неизбежно должен был быть ориентирован на Невский, а главный вход в храм- находиться не с западной, как принято, а с южной стороны. При том что единственная апсида церкви ориентирована на восток, внутреннее пространство церкви приобретает достаточно сложный характер. В основу архитектурного решения фасада зодчий положил те же принципы, которыми он руководствовался и создавая чуть ранее лютеранскую церковь Св. Екатерины на Васильевском острове, но при этом заметно усилил его декоративное оформление, а сам портик получил более сильный вынос и дополнительные боковые стенки, с торцов оформленные пилястрами. Для того чтобы придать большее разнообразие поверхности стены, используются разные формы проёмов: прямоугольные и арочные в первом ярусе и небольшие круглые окошки (сочетающиеся с квадратными филёнками)- во втором. Вместо строгих капителей тосканского ордера здесь в колоннах портика и сдвоенных пилястрах, закрепляющих углы фасада, Фельтен использовал ионические капители «с висюльками», а на стенах между оконными проёмами первого и второго яруса размещены барельефы, воспроизводящие типичный барочный мотив - головки путти в облаках. Ангелочки же водружают крест над входной дверью в храм. Поле фронтона заполняет многофигурная композиция: «Католикос Григор Просветитель свершает крещение царя Трдата III». В интерьере главный элемент декора - 20 парных колонн композитного ордера, размещённых по углам подкупольного квадрата и в преддверии алтарной апсиды. Облицованные жёлтым искусственным мрамором, с белыми капителями, они выразительно смотрятся на фоне беломраморных стен. Над колоннами - не прерываясь, по всему периметру помещения - тянется декоративный карниз с дентикулами.",22 мая 2 июня 1770 года по челобитной главы армянской общины и л лазарева ованес лазарян с прочими армянами последовало устное повеление екатерины ii дозволить им построить в петербурге церковь место для церкви было отведено на участке бывшей малой придворной конюшни в знатном у столице положении на большом проспекте против каменного гостиного двора почему и сооружение церкви требовало немалого капиталу работы велись по проекту ю м фельтена достаточно быстро и уже в 1772 году церковь была освящена,,"09:00–19:00, ежеднвно"
