ID в ИС ГТИБД,Вид объекта,Название,Тип учреждения,Описание,Историческая справка,Заметки
5917,религиозные объекты,церковь вознесения господня в колпино,некоммерческая организация,церковь вознесения господня - действующая православная церковь в колпино храм относится к санкт-петербургской епархии русской православной церкви входит в состав колпинского благочиннического округа,каменная церковь-школа была построена в 1897-1901 годах по проекту архитектора м а андреева на средства купца а и полотнова в процессе устройства храма в 1898 году состоялось торжественное освящение церковно-приходской школы располагавшейся на первом этаже здания 7 20 января 1901 года храм был освящён после 1918 года церковно-приходская школа была закрыта церковь была закрыта от 29 апреля 1920 года и передана в ведение отдела народного образования часть икон была передана в троицкий собор остальные сожжены верхний этаж храма был передан клубу спартак и превращён в спортзал на нижнем этаже находилась читальня рабочего клуба в начале 1920-х годов была разобрана колокольня здание не пострадало в период великой отечественной войны с 1946 года в нём разместился кинотеатр здание было перестроено 14 марта 1991 года было принято решение о возвращении его русской православной церкви богослужения в храме возобновились в апреле 1991 года в 1994-1997 году началось восстановление колокольни по проекту колпинского художника в и зозули позднее на крыше храма были восстановлены каменные кокошники и парапетные тумбы а на восточном фасаде церкви был восстановлен восьмиконечный крест,
5918,религиозные объекты,церковь святителя николая чудотворца в колпино,некоммерческая организация,церковь николая чудотворца - утраченная и восстановленная в другом месте православная церковь на колпинском кладбище храм приписан к вознесенской церкви санкт-петербургской епархии русской православной церкви,до 1941 г на старом колпинском кладбище находилась деревянная церковь святого николая чудотворца построенная еще в 1809 г во время великой отечественной войны она была разрушена 20 июня 1997 г принято решение восстановить церковь его проект был разработан колпинским архитектором в д прокошиной 22 июня 2000 года он был освящен благочинным царскосельского округа протоиереем геннадием зверевым,
5919,религиозные объекты,храм воскресения христова у варшавского вокзала,некоммерческая организация,церковь воскресения христова у варшавского вокзала - приходская церковь адмиралтейского благочиннического округа санкт-петербургской епархии русской православной церкви в санкт-петербурге на набережной обводного канала рядом с бывшим варшавским вокзалом,первая деревянная церковь появилась в 1894 году по случаю бракосочетания царя богослужения духовные беседы чтения народное пение быстро превратились в традиции открытие воскресной школы библиотеки с читальным залом в новом трёхэтажном здании привлекло к себе тысячи прихожан в 1898 году в храме зародилось новое движение называемое обществом трезвости решение о возведении каменного храма поддержал николай ii и утвердил проект архитектора г д гримма закладка фундамента нового здания проходила в июле 1904 года через год храм был построен внутреннее помещение было рассчитано на 4 000 прихожан в 1918 было ликвидировано общество трезвости а в 1930 году закрыта церковь в здании в разное время размещались склад кинотеатр помещения трамвайного парка на колокольне была обустроена парашютная площадка летом 1989 года церковь была возвращена верующим и на пасху 1990 года состоялось первое богослужение 20 декабря 2008 года установлен новый крест на главном куполе проведён ремонт купола,
5920,религиозные объекты,храм иконы казанской божией матери,некоммерческая организация,церковь казанской иконы божией матери построена в 1910-1915 годах памятник культурно-исторического наследия федерального уровня охраны храм относится к санкт-петербургской епархии русской православной церкви входит в состав сестрорецкого благочиннического округа,,
5921,религиозные объекты,церковь во имя казанской иконы божией матери у красненького кладбища,некоммерческая организация,казанская церковь – действующий православный храм возле красненького кладбища в санкт-петербурге,внутри ограды кладбища вблизи нынешней казанской церкви в 1901 году по проекту архитектора н в васильева была построена деревянная казанская церковь тогда же при церкви была построена часовня в советское время ни церковь ни часовня не закрывались а сгорели в начале 1941 года перед великой отечественной войной нынешняя церковь была заложена в 2000 году строилась балтийской строительной компанией по проекту архитектора в в харитоненко и была возведена в кратчайшие сроки став первой петербургской церковью нового тысячелетия 9 февраля 2001 года она была освящена церковь выполнена в неорусском стиле ,
5922,религиозные объекты,церковь покрова пресвятой богородицы при политехническом университете,некоммерческая организация,церковь покрова пресвятой богородицы - православный храм на территории политехнического университета петра великого в санкт-петербурге храм относится к санкт-петербургской епархии русской православной церкви входит в состав благочиния храмов санкт-петербургских высших учебных заведений,после постройки в 1902 году здания политехнического института встал вопрос об устройстве при нём церкви так как ближайшая церковь находилась далеко в 1906 году начались проектные разработки архитектор института в п тавлинов составил соответствующие проекты но средств найти до 1911 года не смогли конкурс на новый проект выиграл гражданский инженер и в падлевский преподававший в политехническом институте курс рисования в марте 1912 года святейший синод одобрил этот проект в который архитектор в а косяков внёс некоторые изменения 6 19 июня 1912 года храм был заложен 15 28 декабря 1913 года церковь была освящена в честь покрова пресвятой богородицы в память о дне основания института в марте 1923 года церковь была закрыта и долгое время использовалась под университетский клуб и склады а затем под аудиторию военной кафедры университета купол и звонница были разобраны после преобразования политехнического института в университет между ним и сложившимся при церкви покрова божьей матери санкт-петербургской епархии приходом в 1992 году был заключён договор о совместном использовании здания покровской церкви в 1992 году церковь была возвращена русской православной церкви 10 апреля 1993 года храм был освящён в 1995 году в церкви был сделан трёхъярусный иконостас расписаны стены и восстановлены главки и звонница,
5923,религиозные объекты,церковь покрова пресвятой богородицы на боровой улице,некоммерческая организация,покровская церковь на боровой улице - православный храм в санкт-петербурге относится к санкт-петербургской епархии русской православной церкви c 2012 года имеет статус подворья антониево-дымского монастыря,возведена по проекту епархиального архитектора н н никонова храм строился с 1891-1893 год для санкт-петербургского епархиального братства во имя пресвятой богородицы созданного для развития сети церковно-приходских школ и поддержания традиции церковного пения две церкви верхняя и нижняя одновременно вмещали около 1500 человек храм был выстроен в стиле русской церковной архитектуре xvii века отделка интерьеров церкви и вся утварь были выполнены по эскизам н н никонова достопримечательностью церкви была колокольня с 1901 года храм был приходским в храмах согласно изначально заявленной традиции поддержания древнего церковного пения пели лучшие церковные и народные хоры петербурга в 1936 году храм был закрыт в нём находились в разное время промышленные цеха багетные мастерские и производственные помещения бумажного завода после войны в нём размещалась кладовая живописно-оформительского комбината худфонда к концу 20 века церковь была перестроена и внутри лишена своего оригинального декора летом 1989 года здание было передано общине евангельских христиан баптистов ехб как здание бывшей старообрядческой церкви в 2012 году общине выделили другое помещение 19 июня 2012 года церковь получила статус подворья антониево-дымского монастыря первая после открытия служба в храме св мч вонифатия состоялась 11 августа 2012 г первоочередные противоаварийные работы на объекте начали проводить в 2016 году в течение 2019 года на объекте выполнялись работы по реставрации и воссозданию пятиглавия,
5924,религиозные объекты,храм рождества пресвятой богородицы при консерватории,некоммерческая организация,,домовая церковь при консерватории императорского русского музыкального общества была создана в 1891-1896 годах при перестройке здания бывшего большого театра для открытой в 1862 году консерватории работы велись под руководством архитектора в в николя которым и был спроектирован двухсветный храм на 250-300 человек на третьем и четвёртом этажах северного фасада над главным входом интерьер храма был оформлен в средневековом русско-византийском стиле главным жертвователем средств на благоустроение храма был действительный статский советник с с викулин 18 октября 1896 года новый храм был освящён главный и единственный престол храма был освящён в честь праздника рождества пресвятой богородицы 25 февраля 1922 года был произведен акт изъятия церковных ценностей тогда же храм был закрыт в августе 1923 года иконостас и оставшаяся церковная утварь были перенесены в николо-богоявленский собор а в самом храме был устроен концертный зал в ходе реконструкций 1930-х годов в помещении бывшего храма были возведены перегородки и перекрытия для устройства читального зала с книгохранилищем и учебных классов 12 мая 1996 года ректор обратился к правящему архиерею митрополиту санкт-петербургскому и ладожскому владимиру за благословением возродить храм первый благодарственный молебен был отслужен во временной часовне устроенной в бывшем служебном помещении храма - ризнице 12 июля 1996 года в день памяти святых первоверховных апостолов петра и павла с тех пор богослужение совершается регулярно по расписанию в помещении читального зала на временном престоле в настоящее время в помещении церкви консерватории находятся читальный зал библиотеки отдел рукописей в алтарной части храма книгохранилище третий этаж и учебные классы четвёртый этаж запланированные с 1992 года ремонтно-восстановительные работы не ведутся вопрос о восстановлении храмовых помещений администрацией вуза рассматривается только в связи с капитальным ремонтом здания консерватории и перемещения читального зала с книгохранилищем в другое помещение,
5925,религиозные объекты,храм святителя иоасафа белгородского,некоммерческая организация,церковь иоасафа белгородского - действующий православный храм в поселке парголово в пригороде санкт-петербурга,церковь была построенна на месте разрушенного одноименного храма после революции 1917 г перед революцией в поселке 3-е парголово михайловка была построена церковь во имя святителя иоасафа и песчанской иконы божией матери освященная в 1914 году и при ней было создано михайловское иоасафовское братство храм действовал до 1937 года в 1938 г был расстрелян архимандрит антоний который был настоятелем церкви в 1941 г был уничтожен храм нынешняя деревянная церковь построена в 1995 - 2000 годах по проекту архитектора а а петрова 27 февраля 2003 г в храме помещена привезенная из преображенского собора белгорода частица мощей иоасафа белгородского,
5926,религиозные объекты,церковь святого апостола петра,некоммерческая организация,церковь святого апостола петра – храм санкт-петербургской епархии русской православной церкви расположенный в лахте входит в состав приморского благочиннического округа,строительство храма было приурочено к событию 1 12 ноября 1724 года когда согласно преданию петр i спас тонувших солдат и матросов владелец лахты граф в а стенбок-фермор пожертвовал для церкви землю и 20 000 рублей средства на возведение храма собирали также жители лахты и ольгино закладка храма состоялась 29 июня 11 июля 1893 года в день апостолов петра и павла проект церкви разработали академики архитектуры местные жители в в и в и шаубы 12 24 июня 1894 года состоялось поднятие колоколов а 31 июля 12 августа митрополит палладий раев вместе с епископом гдовским назарием кирилловым и иоанном кронштадтским освятил храм рядом с храмом было выстроено двухэтажное здание для помещения в нем приходской школы и приюта в 1920-х - 1930-х годах лахтинский приход относился к числу обновленческих в 1938 году церковь была закрыта и в ней в 1939 году устроили кинотеатр звезда в конце 1980-х годов кинотеатр был закрыт в здании был устроен кооператив по ремонту катеров в марте 1991 года церковь была передана санкт-петербургской епархии первая служба в самом храме прошла на пасху 1991 года 12 июня 1994 года состоялось полное освящение храма по благословению митрополита санкт-петербургского и ладожского иоанна снычева было основано сестричество во имя святой преподобномученицы великой княгини елисаветы деятельность сестричества развивается по двум направлениям уход за онкологическими больными и работа с детьми при храме действует воскресная школа для детей и взрослых,
5927,религиозные объекты,храм первоверховного апостола петра,некоммерческая организация,храм святого первоверховного апостола петра в санкт- петербурге - православный храм расположенный на пересечении искровского проспекта улицы подвойского дальневосточного проспекта и ул антонова-овсеенко в парке строителей с общей площадью комплекса 5120 квадратных метров с общей площадью самой храмовой постройки 910 квадратных метров,приход храма святого первоверховного апостола петра был зарегистрирован 10 марта 2005 года 23 апреля 2005 г совершена закладка храма проект разработан в 2005 г андреем лебедевым в его состав входит собственно храм с колокольней которая примыкает к храмовому зданию а также отдельные сооружения - дом причта западные ворота с часовней св прпмц елизаветы северные и южные ворота 08 августа 2008г состоялось освящение большого 4150кг и 12 малых колоколов колокола изготовлены воронежским колокольным заводом 28 ноября 2009г состоялось освящение 10 крестов для колокольни центрального купола четверика боковых пределов фасадной и надвратной часовни 11 декабря 2016 года был освящен главный престолхрама святого апостола петра в веселом поселке,
5928,религиозные объекты,церковь святого великомученика димитрия солунского,некоммерческая организация,церковь святого великомученика димитрия солунского - деревянная церковь в историческом районе коломяги 8 ноября 2006 года праздновалось 100-летие этого одного из самых древних деревянных храмов санкт-петербурга является памятником культурного наследия россии федерального значения,история церкви начинается в 1899 году митрополит санкт-петербургский и ладожский антоний вадковский благословил жителей деревни коломяги устроить сбор пожертвований на переустройство часовни александра невского в церковь архитектор а а всеславин пожертвовал проект одноэтажной деревянной церкви деньги на строительство храма были собраны по подписке жителями села коломяги и многочисленными дачниками проживающими в этой дачной местности участок земли под храм пожертвовал местный помещик граф а ф орлов-денисов-никитин в 1905-1906 годах на стеклянной горке построили сохранившуюся до наших дней деревянную церковь 3 декабря 1906 года состоялся торжественный чин освящения церкви во время великой отечественной войны храм сохранился и не закрывался даже в годы ленинградской блокады в настоящее время это редчайший в пределах санкт-петербурга деревянный храм дореволюционной постройки в нём хранятся частицы мощей св серафима саровского св великомученика и целителя пантелеимона св патриарха тихона свт питирима еп тамбовского и св великомученика дмитрия солунского и многие другие святыни церковь является центральным храмом приморского благочинного округа санкт-петербургской епархии включающего в себя приморский район санкт-петербурга,
5930,религиозные объекты,церковь святого великомученика георгия победоносца в купчино,некоммерческая организация,церковь георгия победоносца посвящена подвигу российских воинов сражавшихся за пределами родины расположена в петербургском купчино в центре парка интернационалистов,церковь построена в 1999-2002 годах архитекторами и солодовниковым и и куминовым при участии инж б торшина 17 декабря 1999 года освящен нижний храм во имя рождества христова престольный праздник 7 января 17 декабря 2003 году совершено освящение верхнего храма во имя св вмч георгия победоносца церковь поддерживает тесные отношения с казаческим движением в частности по благословению митрополита владимира храм осуществляем духовное окормление станицы георгиевская действующей во фрунзенском районе санкт-петербурга,
5931,религиозные объекты,церковь святого праведного иоанна кронштадтского,некоммерческая организация,храм святого праведного иоанна кронштадтского - православный храм санкт-петербургской епархии русской православной церкви расположенный в кировском районе санкт-петербурга,идея строительства храма появилась в 1990 году архитектором стал петербургский зодчий и н князев в апреле 1998 года произошла закладка храма после чего было начато строительство 21 декабря 2004 года протоиерей виктор голубев освятил храм по просьбе местной общины храм был назван во имя иоанна кронштадтского 3 сентября 2004 года указом митрополита санкт-петербургского и ладожского владимира протоиерей михаил подолей был назначен на должность настоятеля храма с этого времени стали совершаться регулярные богослужения в 2014 году на территории комплекса началось строительство соборного храма и духовно-просветительского центра,
5932,религиозные объекты,церковь святого праведного иова многострадального,некоммерческая организация,церковь святого праведного иова многострадального - одна из самых известных святынь петербурга единственный действующий храм одного из крупнейших некрополей северной столицы волковского православного кладбища,церковь иова многострадального была построена параскевой крюковой над могилой мужа и м крюкова храм был заложен 19 мая 1885 г создал проект архитектор и а аристархов после его смерти продолжил строительство а н немченинов освятил храм 28 октября 1887 г митрополит исидор в этой церкви часто бывал император николай ii родившийся в день памяти иова многострадального церковь никогда не закрывалась работала даже во время ленинградской блокады ряд икон и церковная утварь были изъяты в 1920-х годах а также был потерян ряд захоронений в усыпальнице к 1934 году исчезла часть обрамления оконного проема в 1-м этаже колокольни ранее представлявшего собой килевидный кокошник главным достоянием церкви является икона святого артемия с частицами его мощей на престоле нижнего спасского придела ряд ремонтно-реставрационных работ проводились в середине 1980-х годов в 1996 г были отремонтированы фасады церкви в 2001 г осуществлены ремонтно-реставрационные работы согласно указу президента рф эта единственная сохранившаяся церковная постройка архитектора и аристархова в феврале 1995 г объявлена памятником истории и культуры федерального значения,
5933,религиозные объекты,храм свспиридона тримифунтского,православный храм,церковь святого спиридона тримифунтского - православная церковь расположенная в ломоносове на иликовском проспекте 1 храм приписан к церкви рождества иоанна предтечи в посёлке малая ижора санкт-петербургской епархии русской православной церкви,в ломоносове при поддержке губернатора георгия полтавченко восстанавливается православный храм святителя спиридона тримифунтского этот храм в ораниенбауме ломоносове - единственный сохранившийся в санкт-петербургской епархии посвященный святителю спиридону тримифунтскому в 2013 году исполнилось 175 лет со дня его основания святитель спиридон тримифунтский был небесным покровителем лейб-гвардии волынского полка для нужд военных и был в 19 веке выстроен храм но с тех пор довелось ему побывать и складом и домом пионеров и городским спортзалом в настоящий момент завершается полная реконструкция храма начатая в 2008 году но службы в нём уже совершаются так же совершаются службы в здании домовой церкви свт николая чудотворца при бывшей морской учебно-стрелковой команде здание рядом с храмом,
5934,религиозные объекты,церковь святой блаженной ксении петербургской домовая при больнице святой блаженной ксении петербургской,бюджетное учреждение здравоохранения,больница принимает на временное пребывание пожилых престарелых и лежачих пациентов с ограниченной способностью к самообслуживанию и требующих постоянного сестринского ухода и наблюдения сестры милосердия не только ухаживают за больными но заботятся об их душевном состоянии дают им поддержку силы и духовную радость большую роль в уходе за больными играет чуткое и терпеливое отношение создание психологического и физического комфорта для пациентов внимательное соблюдение гигиенических процедур и режима питания,больница располагается в старинном здании входящем в архитектурный комплекс александро-невской лавры близость к духовному центру само пространство старинных коридоров создают атмосферу непохожую на обычные медицинские учреждения среди палат в которых оказывается сестринская и врачебная помощь есть домовый храм блаженной ксении петербургской где совершается литургия и звучат молитвы об исцелении душ и телес больных,
5935,религиозные объекты,часовня во имя святой блаженной ксении петербургской,религиозное,часовня святой ксении блаженной - православная часовня в санкт-петербурге расположена в василеостровском районе на смоленском кладбище открыта ежедневно с 800 до 1900 приписана к церкви смоленской иконы божией матери в часовне  под землей находятся мощи блаженной ксении петербургской,имя святой блаженной ксении петербургской сегодня известно далеко за пределами россии со всех уголков мира православные приезжают со своими просьбами в часовенку святой ксении что на смоленском кладбище в петербурге история блаженной ксении как известно реальная да и по времени не так далеко отстоит от современностичасовенку на месте захоронения святой блаженной ксении соорудили в 1830 году перестроена и освящена она была в 1902-ом в советское время мраморные плиты снесли иконы уничтожили службы то возобновляли то вновь запрещали и только в 1988 году ксения блаженная была канонизирована и причислена к лику святых,
5936,религиозные объекты,церковь святой преподобной мученицы елизаветы,православный храм,православный приход святой преподобномученицы елисаветы в санкт-петербурге община не является частью московской патриархии они относятся к истинно-православной церкви те той церкви которая при советской власти была катакомбной настоятель прихода - епископ григорий лурье архиерейское совещание рпац,революция 1917 года расколола российскую православную церковь на несколько частей из которых самыми значительными оказались три - официальная церковь решившая сотрудничать с советской властью с 1943 года - московская патриархия с новым официальным названием русская православная церковь а не российская - катакомбная церковь в ссср - зарубежная церковь рпцз которая возникла за пределами россии и объединила основную часть эмиграции большинство новомучеников не признавали официальную церковь московскую патриархию многие их них приняли мученическую кончину именно за это что не помешало московской патриархии их позже канонизировать и представить своими в 2007 году рпц мп смогла поглотить значительную часть зарубежной церкви но многие монастыри и приходы этого не признали в россии получилось как бы два православия - официальная церковь - московская патриархия рпц мп - церковные группы имеющие преемство от рпцз и катакомбной церкви их общее название - истинно-православные церкви ипц ко второй группе относится наш приход,
5937,религиозные объекты,церковь марии магдалины в павловске,религиозное,церковь святой марии магдалины - православный храм в павловске первое каменное здание города приход храма относится к санкт-петербургской епархии русской православной церкви входит в состав царскосельского благочиннического округа настоятель - протоиерей даниил ранне,в 1777 году по случаю рождения внука александра i будущего императора императрица екатерина ii подарила своему сыну павлу петровичу и его супруге земли которые занимает сейчас павловск на берегу реки славянки до нашего времени сохранился обелиск с надписью павловское начато строить в 1777 году великая княгиня мария федоровна  - жена павла петровича получила прекрасное воспитание и образование еще девушкой ее готовили к тому чтобы она смогла быть верной супругой рачительной хозяйкой дома и заботливой матерью буквально с первых дней своего пребывания в павловске мария федоровна показала себя образцовой хозяйкой весьма примечательно что прежде чем построить дворец для себя и своей семьи великая княгиня позаботилась о том чтобы в павловске был храм очевидно принятие православной веры для супруги великого князя не было простой формальностью иначе трудно объяснить почему в 1781 году по инициативе и на средства самой марии федоровны начинает возводиться храм в честь ее небесной покровительницы святой равноапостольной марии магдалины а при храме - госпиталь и богадельня получившая название церковный инвалид при мариинском госпитале находился бесплатный приют для бедных рожениц отделение из трех палат для неизлечимо больных а также бесплатная школа для крестьянских детей первая в россии школа для глухонемых и школа практического земледелия как показывает история склонность к христианским добродетелям таким как милостыня и милосердие мария федоровна сохранила на всю жизнь даже после смерти императрицы марии федоровны финансирование служителей храма госпиталя и богадельни производилось на деньги которые были завещаны ею для богоугодных заведений  2 закладка и освящение храма торжественная закладка храма была произведена в 1781 году в присутствии великого князя павла петровича и его супруги освящение храма было совершено в 1784 году митрополитом гавриилом церковь построена в классическом стиле по проекту итальянского архитектора джакомо кваренги настенная живопись выполнена известным русским мастером федором даниловым в стиле итальянской школы иконы для иконостаса по специальному заказу были написаны в италии художником- живописцем кадесом колокола доставленные в павловск были подобраны под гармоническую гамму знатоком музыки знакомым кюхельбекера в храме у южной стены находилось императорское место на котором во время богослужения молилась августейшая семья так как предполагалось что в церкви на богослужении может присутствовать император то можно себе представить насколько богато храм был украшен и снабжен всем необходимым для совершения богослужения примечательно что запрестольное паникадило люстра из янтаря и слоновой кости было выточено руками самой императрицы также марией федоровной из слоновой кости были сделаны ручка и подножие к священным сосудам предназначенным для совершения богослужения во время самого богослужения священники облачались в богатые священнические одежды слева от входа в храм у стены в 1797 году установлен памятник воспитателю павла i графу ни панину выполненный в виде плоской пирамиды с барельефом и памятной надписью справа от входа в 1819-м году марией федоровной установлен памятник другу императора павла i князю александру борисовичу куракину выполненный также в виде плоской гранитной пирамиды наверху которой находился мраморный барельеф князя а внизу надпись другу супруга моего еще один монумент был установлен в 1824 г внутри храма над местом погребения одного из воспитателей александра i на загряжского скончавшегося в 1821 году все эти памятники сохранились до наших дней  3 до революции 1917 годадо революции 1917 года в храме хранилось много знамен и штандартов некоторых русских полков а также знамена и кормовые флаги французских итальянских и голландских войск которые были отбиты русскими сухопутными и морскими войсками во время войны 1799 года также в церкви была довольно богатая библиотека в 1796 году павловское получило статус самостоятельного города в ведении дворцового ведомства мария федоровна супруга императора в течение нескольких лет преобразовывала непроходимые лесные чащи окрестностей павловска в прекрасные парки и сады 4 советское время после 1917 года в корпусе госпиталя была размещена обувная фабрика спартак которая располагалась там до великой отечественной войны решение о закрытии самого храма было принято как свидетельствуют документы за подписью всего трех  человек в 1931 году храм был закрыт священные реликвии осквернены высокохудожественные предметы церковного убранства разграблены следы некогда богатого былого убранства теряются в смутном времени революции 1917 года после революции по иронии судьбы или может быть намерено у церкви святой равноапостольной марии магдалины появился новый адрес улица революции 17 после войны здание церкви заняла фабрика точмех этой фабрикой частично были переделаны внутренние пом,
